Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
79,Nicklas Bendtner,dk DEN,FW,eng Arsenal,22,1988,5,2,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Pierre Bengtsson,se SWE,"DF,MF",dk FC Copenhagen,22,1988,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Rasmus Bengtsson,se SWE,DF,nl Twente,24,1986,2,1,142,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Karim Benzema,fr FRA,FW,es Real Madrid,22,1987,8,4,371,4.1,6,1,7,6,0,0,0,0,1.46,0.24,1.70,1.46,1.70,Matches
83,Dimitar Berbatov,bg BUL,FW,eng Manchester Utd,29,1981,7,6,520,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
84,Jérémy Berthod,fr FRA,DF,fr Auxerre,26,1984,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Jonathan Biabiany,fr FRA,"FW,MF",it Inter,22,1988,5,4,348,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Cristiano Biraghi,it ITA,"DF,MF",it Inter,17,1992,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Valter Birsa,si SVN,"FW,MF",fr Auxerre,23,1986,5,5,433,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
88,Saša Bjelanović,hr CRO,FW,ro CFR Cluj,31,1979,4,0,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Kevin-Prince Boateng,gh GHA,"FW,MF",it Milan,23,1987,7,2,389,4.3,0,1,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches
90,Salvatore Bocchetti,it ITA,DF,ru Rubin Kazan,23,1986,6,6,516,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Christian Bolaños,cr CRC,MF,dk FC Copenhagen,26,1984,8,6,551,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
92,Mark van Bommel,nl NED,MF,de Bayern Munich,33,1977,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Dani Bondar,il ISR,DF,il Hapoel Tel Aviv,23,1987,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
94,Daniele Bonera,it ITA,DF,it Milan,29,1981,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Breno Borges,br BRA,DF,de Bayern Munich,20,1989,3,2,232,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Tim Borowski,de GER,MF,de Werder Bremen,30,1980,2,1,69,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Marco Borriello,it ITA,FW,it Roma,28,1982,8,5,518,5.8,4,1,5,4,0,1,0,0,0.69,0.17,0.87,0.69,0.87,Matches
98,Sander Boschker,nl NED,GK,nl Twente,39,1970,1,1,90,1.0,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches
99,José Bosingwa,pt POR,DF,eng Chelsea,27,1982,4,4,338,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Madjid Bougherra,dz ALG,DF,sct Rangers,27,1982,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
