Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
106,Steven Caldwell,sct SCO,DF,eng Newcastle United,21,1980,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Jan-Ingwer Callsen-Bracker,de GER,DF,de Leverkusen,17,1984,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Igor de Camargo,be BEL,"FW,MF",be Genk,19,1983,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Esteban Cambiasso,ar ARG,MF,es Real Madrid,21,1980,9,8,653,7.3,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
110,Mauro Camoranesi,it ITA,MF,it Juventus,25,1976,13,11,955,10.6,1,3,4,1,0,0,1,0,0.09,0.28,0.38,0.09,0.38,Matches
111,Sol Campbell,eng ENG,"DF,FW",eng Arsenal,27,1974,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Vincent Candela,fr FRA,"DF,MF",it Roma,28,1973,10,10,900,10.0,0,2,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
113,Santiago Cañizares,es ESP,GK,es Valencia,32,1969,12,12,"1,06",11.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Fabio Cannavaro,it ITA,DF,it Inter,28,1973,11,10,886,9.8,1,0,1,1,0,0,6,1,0.10,0.00,0.10,0.10,0.10,Matches
115,Mario Cantaluppi,ch SUI,"DF,MF",ch Basel,28,1974,11,11,990,11.0,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches
116,Joan Capdevila,es ESP,DF,es Dep La Coruña,24,1978,9,6,577,6.4,1,3,4,1,0,0,2,0,0.16,0.47,0.62,0.16,0.62,Matches
117,Amedeo Carboni,it ITA,DF,es Valencia,37,1965,11,10,887,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
118,John Carew,no NOR,FW,es Valencia,22,1979,13,12,979,10.9,5,4,9,5,0,0,0,0,0.46,0.37,0.83,0.46,0.83,Matches
119,Roberto Carlos,br BRA,DF,es Real Madrid,29,1973,15,15,"1,315",14.6,1,3,4,1,0,0,3,0,0.07,0.21,0.27,0.07,0.27,Matches
120,Juan Carlos Valerón,es ESP,MF,es Dep La Coruña,27,1975,5,3,291,3.2,0,2,2,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches
121,Jamie Carragher,eng ENG,"DF,MF",eng Liverpool,24,1978,6,6,521,5.8,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
122,Éric Carrière,fr FRA,MF,fr Lyon,29,1973,6,6,510,5.7,2,4,6,2,0,0,0,0,0.35,0.71,01.06,0.35,01.06,Matches
123,Roy Carroll,nir NIR,GK,eng Manchester Utd,24,1977,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Iker Casillas,es ESP,GK,es Real Madrid,21,1981,15,15,"1,35",15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Mattia Cassani,it ITA,DF,it Juventus,18,1983,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Antonio Cassano,it ITA,FW,it Roma,20,1982,11,8,642,7.1,4,0,4,4,0,0,1,0,0.56,0.00,0.56,0.56,0.56,Matches
127,Nastja Čeh,si SVN,MF,be Club Brugge,24,1978,4,1,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Albert Celades,es ESP,MF,es Real Madrid,26,1975,4,4,360,4.0,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
129,Walter Centeno,cr CRC,MF,gr AEK Athens,27,1974,4,1,141,1.6,2,1,3,2,0,0,0,0,1.28,0.64,1.91,1.28,1.91,Matches
130,Florin Cernat,ro ROU,MF,ua Dynamo Kyiv,22,1980,5,3,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Júlio César,br BRA,"FW,MF",ru Loko Moscow,22,1980,9,6,525,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches
132,Luke Chadwick,eng ENG,MF,eng Manchester Utd,21,1980,3,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
133,José Chamot,ar ARG,DF,it Milan,33,1969,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Jean-Marc Chanelet,fr FRA,DF,fr Lyon,34,1968,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Thomas Chatelle,be BEL,MF,be Genk,21,1981,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Stanislav Cherchesov,xc CIS,GK,ru Spartak Moscow,38,1963,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Bruno Cheyrou,fr FRA,MF,eng Liverpool,24,1978,4,2,224,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches
138,Antonio Chimenti,it ITA,GK,it Juventus,32,1970,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Dionisis Chiotis,gr GRE,GK,gr AEK Athens,25,1977,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Scott Chipperfield,au AUS,"DF,MF",ch Basel,26,1975,6,2,227,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Cristian Chivu,ro ROU,DF,nl Ajax,21,1980,12,12,"1,052",11.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
142,Song Chong-gug,kr KOR,"DF,MF",nl Feyenoord,23,1979,6,6,502,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Michael Chopra,eng ENG,FW,eng Newcastle United,18,1983,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
